,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
135,0.2,0.01,96,1,96-0,27,Bernoulli,Graph-Aware,0.34926487309320603
136,0.2,0.01,96,1,96-0,27,Bernoulli,Diff-Means-Stnd,-0.010259057284667352
137,0.2,0.01,96,1,96-0,27,Bernoulli,Diff-Means-Frac-0.75,0.6014601743692927
138,0.2,0.01,96,1,96-0,27,Bernoulli,LeastSqs-Prop,0.012590723787299274
139,0.2,0.01,96,1,96-0,27,Bernoulli,LeastSqs-Num,-0.0020087287363899334
140,0.2,0.01,96,1,96-0,28,Bernoulli,Graph-Aware,0.10228724873211945
141,0.2,0.01,96,1,96-0,28,Bernoulli,Diff-Means-Stnd,0.013741693379951611
142,0.2,0.01,96,1,96-0,28,Bernoulli,Diff-Means-Frac-0.75,-0.39004056243509383
143,0.2,0.01,96,1,96-0,28,Bernoulli,LeastSqs-Prop,0.030483658865576007
144,0.2,0.01,96,1,96-0,28,Bernoulli,LeastSqs-Num,0.02669661339566936
145,0.2,0.01,96,1,96-0,29,Bernoulli,Graph-Aware,-0.214785402944038
146,0.2,0.01,96,1,96-0,29,Bernoulli,Diff-Means-Stnd,-0.016811078605445805
147,0.2,0.01,96,1,96-0,29,Bernoulli,Diff-Means-Frac-0.75,-0.009305390762127044
148,0.2,0.01,96,1,96-0,29,Bernoulli,LeastSqs-Prop,-0.017234336773859715
149,0.2,0.01,96,1,96-0,29,Bernoulli,LeastSqs-Num,-0.010045068681223603
150,0.2,0.01,96,1,96-0,30,Bernoulli,Graph-Aware,-0.12994186070344108
151,0.2,0.01,96,1,96-0,30,Bernoulli,Diff-Means-Stnd,-0.013992148988919028
152,0.2,0.01,96,1,96-0,30,Bernoulli,Diff-Means-Frac-0.75,-1.1015185179269347
153,0.2,0.01,96,1,96-0,30,Bernoulli,LeastSqs-Prop,-0.020701770978752494
154,0.2,0.01,96,1,96-0,30,Bernoulli,LeastSqs-Num,-0.012822410640766642
155,0.2,0.01,96,1,96-0,31,Bernoulli,Graph-Aware,0.005016895733745672
156,0.2,0.01,96,1,96-0,31,Bernoulli,Diff-Means-Stnd,-0.014299718483804097
157,0.2,0.01,96,1,96-0,31,Bernoulli,Diff-Means-Frac-0.75,-0.2971022518150578
158,0.2,0.01,96,1,96-0,31,Bernoulli,LeastSqs-Prop,0.025084302731400446
159,0.2,0.01,96,1,96-0,31,Bernoulli,LeastSqs-Num,0.013014398249869536
160,0.2,0.01,96,1,96-0,32,Bernoulli,Graph-Aware,-0.03312625346407715
161,0.2,0.01,96,1,96-0,32,Bernoulli,Diff-Means-Stnd,0.0026619082575943228
