,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
156,0.2,2,256,2,16-0,31,Bernoulli,Diff-Means-Stnd,-0.7158883259779842
157,0.2,2,256,2,16-0,31,Bernoulli,Diff-Means-Frac-0.75,-1.132019489458345
158,0.2,2,256,2,16-0,31,Bernoulli,LeastSqs-Prop,-0.9626105887065903
159,0.2,2,256,2,16-0,31,Bernoulli,LeastSqs-Num,1.0383330047305874
160,0.2,2,256,2,16-0,32,Bernoulli,Graph-Aware,-2.5598520084572423
161,0.2,2,256,2,16-0,32,Bernoulli,Diff-Means-Stnd,-0.7165231385416085
162,0.2,2,256,2,16-0,32,Bernoulli,Diff-Means-Frac-0.75,-1.1310998246413801
163,0.2,2,256,2,16-0,32,Bernoulli,LeastSqs-Prop,-1.5790441881050001
164,0.2,2,256,2,16-0,32,Bernoulli,LeastSqs-Num,2.1029707018523807
165,0.2,2,256,2,16-0,33,Bernoulli,Graph-Aware,0.6955854388796107
166,0.2,2,256,2,16-0,33,Bernoulli,Diff-Means-Stnd,-0.6794289419933477
167,0.2,2,256,2,16-0,33,Bernoulli,Diff-Means-Frac-0.75,-1.1372768122472214
168,0.2,2,256,2,16-0,33,Bernoulli,LeastSqs-Prop,-0.5365267757436994
169,0.2,2,256,2,16-0,33,Bernoulli,LeastSqs-Num,1.048292300357669
170,0.2,2,256,2,16-0,34,Bernoulli,Graph-Aware,0.7244763082722001
171,0.2,2,256,2,16-0,34,Bernoulli,Diff-Means-Stnd,-0.6701906533465412
172,0.2,2,256,2,16-0,34,Bernoulli,Diff-Means-Frac-0.75,-1.150039811830247
173,0.2,2,256,2,16-0,34,Bernoulli,LeastSqs-Prop,-0.9829152074035942
174,0.2,2,256,2,16-0,34,Bernoulli,LeastSqs-Num,1.589469912673822
175,0.2,2,256,2,16-0,35,Bernoulli,Graph-Aware,-2.5343233784453805
176,0.2,2,256,2,16-0,35,Bernoulli,Diff-Means-Stnd,-0.7368548151477419
177,0.2,2,256,2,16-0,35,Bernoulli,Diff-Means-Frac-0.75,-1.1202589683458175
178,0.2,2,256,2,16-0,35,Bernoulli,LeastSqs-Prop,-1.6010877716593144
179,0.2,2,256,2,16-0,35,Bernoulli,LeastSqs-Num,3.2841808267536727
180,0.2,2,256,2,16-0,36,Bernoulli,Graph-Aware,0.2705610470171744
181,0.2,2,256,2,16-0,36,Bernoulli,Diff-Means-Stnd,-0.7422764700531771
182,0.2,2,256,2,16-0,36,Bernoulli,Diff-Means-Frac-0.75,-1.1242256906064099
