,Estimator,graph,rep,n,p,ratio,Bias
178,OLS,sw,35,256,0.5,2,-0.10438542649021025
179,Graph-Agnostic,sw,35,256,0.5,2,0.021489855338674882
180,diff_means_frac,sw,36,256,0.5,2,-0.7162385904707367
181,diff_means,sw,36,256,0.5,2,-0.8722359934358108
182,SumIPS-Linear,sw,36,256,0.5,2,-0.8092660700810291
183,OLS,sw,36,256,0.5,2,-0.4014062310222022
184,Graph-Agnostic,sw,36,256,0.5,2,-0.062400749242470493
185,diff_means_frac,sw,37,256,0.5,2,-0.7866879037894096
186,diff_means,sw,37,256,0.5,2,-0.9642736257887874
187,SumIPS-Linear,sw,37,256,0.5,2,-1.503372513952023
188,OLS,sw,37,256,0.5,2,-0.07994673564331604
189,Graph-Agnostic,sw,37,256,0.5,2,-0.10079116696118297
190,diff_means_frac,sw,38,256,0.5,2,-0.5765795454529206
191,diff_means,sw,38,256,0.5,2,-0.7677711940101538
192,SumIPS-Linear,sw,38,256,0.5,2,-0.20703431024728106
193,OLS,sw,38,256,0.5,2,-0.35464301947864446
194,Graph-Agnostic,sw,38,256,0.5,2,-0.00721720928827155
195,diff_means_frac,sw,39,256,0.5,2,-0.6580351246353049
196,diff_means,sw,39,256,0.5,2,-0.7999669986698328
197,SumIPS-Linear,sw,39,256,0.5,2,-1.2170791146272186
198,OLS,sw,39,256,0.5,2,-0.25046483494621957
199,Graph-Agnostic,sw,39,256,0.5,2,-0.07123962258006314
200,diff_means_frac,sw,40,256,0.5,2,-0.7040751018629239
201,diff_means,sw,40,256,0.5,2,-0.9221893066269432
202,SumIPS-Linear,sw,40,256,0.5,2,0.5346673008494398
203,OLS,sw,40,256,0.5,2,-0.19366619816010175
204,Graph-Agnostic,sw,40,256,0.5,2,-0.028718323578295086
205,diff_means_frac,sw,41,256,0.5,2,-0.7749711173730236
206,diff_means,sw,41,256,0.5,2,-0.8338330963694065
207,SumIPS-Linear,sw,41,256,0.5,2,-1.252187087446086
208,OLS,sw,41,256,0.5,2,-0.05101051811202339
209,Graph-Agnostic,sw,41,256,0.5,2,-0.07767540370451739
210,diff_means_frac,sw,42,256,0.5,2,-0.6311103055521341
211,diff_means,sw,42,256,0.5,2,-0.8721283837775515
212,SumIPS-Linear,sw,42,256,0.5,2,-0.5556066110867012
213,OLS,sw,42,256,0.5,2,-0.48497346649214196
214,Graph-Agnostic,sw,42,256,0.5,2,-0.00446138262961286
215,diff_means_frac,sw,43,256,0.5,2,-0.532458370358537
216,diff_means,sw,43,256,0.5,2,-0.7491671714647168
217,SumIPS-Linear,sw,43,256,0.5,2,0.20491280677709045
218,OLS,sw,43,256,0.5,2,-0.100994994492059
219,Graph-Agnostic,sw,43,256,0.5,2,0.011215957458361129
220,diff_means_frac,sw,44,256,0.5,2,-0.9410817343249498
221,diff_means,sw,44,256,0.5,2,-0.8335342807910667
222,SumIPS-Linear,sw,44,256,0.5,2,0.025787062395873434
223,OLS,sw,44,256,0.5,2,-0.46254925600562136
224,Graph-Agnostic,sw,44,256,0.5,2,-0.01669862415602727
225,diff_means_frac,sw,45,256,0.5,2,-0.8900374639761296
226,diff_means,sw,45,256,0.5,2,-0.8882782638329917
227,SumIPS-Linear,sw,45,256,0.5,2,-1.7266555090205356
228,OLS,sw,45,256,0.5,2,-0.5066154948813985
229,Graph-Agnostic,sw,45,256,0.5,2,-0.10610376627325029
230,diff_means_frac,sw,46,256,0.5,2,-0.719672355372235
231,diff_means,sw,46,256,0.5,2,-0.9312767334991373
232,SumIPS-Linear,sw,46,256,0.5,2,-0.5606148944310602
233,OLS,sw,46,256,0.5,2,-0.3331745481040556
234,Graph-Agnostic,sw,46,256,0.5,2,0.028090820902527545
235,diff_means_frac,sw,47,256,0.5,2,-0.6278770276179275
236,diff_means,sw,47,256,0.5,2,-0.8286583996291009
237,SumIPS-Linear,sw,47,256,0.5,2,0.1833030293665592
238,OLS,sw,47,256,0.5,2,-0.3544599028256514
239,Graph-Agnostic,sw,47,256,0.5,2,0.006928879503387705
240,diff_means_frac,sw,48,256,0.5,2,-0.7688412035508271
241,diff_means,sw,48,256,0.5,2,-0.8866403929600626
242,SumIPS-Linear,sw,48,256,0.5,2,-1.6175937045207722
243,OLS,sw,48,256,0.5,2,-0.372036037947897
244,Graph-Agnostic,sw,48,256,0.5,2,-0.03995969631525327
245,diff_means_frac,sw,49,256,0.5,2,-0.7563563907665699
246,diff_means,sw,49,256,0.5,2,-0.8187728821253795
247,SumIPS-Linear,sw,49,256,0.5,2,-2.0533152546607525
248,OLS,sw,49,256,0.5,2,-0.28062063073772603
249,Graph-Agnostic,sw,49,256,0.5,2,-0.13545889864906646
250,diff_means_frac,sw,50,256,0.5,2,-0.8034653315715202
251,diff_means,sw,50,256,0.5,2,-0.8185765316903859
252,SumIPS-Linear,sw,50,256,0.5,2,0.15283677013432007
253,OLS,sw,50,256,0.5,2,-0.28507877300068996
254,Graph-Agnostic,sw,50,256,0.5,2,0.052649604224654485
255,diff_means_frac,sw,51,256,0.5,2,-0.6035665589118782
256,diff_means,sw,51,256,0.5,2,-0.8627508006622735
257,SumIPS-Linear,sw,51,256,0.5,2,-0.06102549629289702
258,OLS,sw,51,256,0.5,2,-0.36305872904986913
259,Graph-Agnostic,sw,51,256,0.5,2,-0.03804015226273275
260,diff_means_frac,sw,52,256,0.5,2,-0.6367132741634577
261,diff_means,sw,52,256,0.5,2,-0.9510113831134865
262,SumIPS-Linear,sw,52,256,0.5,2,-0.6211652907567186
263,OLS,sw,52,256,0.5,2,-0.5533937124200639
264,Graph-Agnostic,sw,52,256,0.5,2,-0.031978074213468724
265,diff_means_frac,sw,53,256,0.5,2,-0.6812519127389216
266,diff_means,sw,53,256,0.5,2,-0.8804556777437479
267,SumIPS-Linear,sw,53,256,0.5,2,-1.8174225031135995
268,OLS,sw,53,256,0.5,2,-0.1767008941595369
269,Graph-Agnostic,sw,53,256,0.5,2,-0.04264401246659547
270,diff_means_frac,sw,54,256,0.5,2,-0.710997811343866
271,diff_means,sw,54,256,0.5,2,-0.909333238236386
272,SumIPS-Linear,sw,54,256,0.5,2,-1.437590866998972
273,OLS,sw,54,256,0.5,2,-0.8086975102534834
274,Graph-Agnostic,sw,54,256,0.5,2,0.006048259635086419
275,diff_means_frac,sw,55,256,0.5,2,-0.7747000028531374
276,diff_means,sw,55,256,0.5,2,-0.9507584262779253
277,SumIPS-Linear,sw,55,256,0.5,2,0.6378270688143363
278,OLS,sw,55,256,0.5,2,-0.6900852524635803
279,Graph-Agnostic,sw,55,256,0.5,2,0.04053352296491132
280,diff_means_frac,sw,56,256,0.5,2,-0.7479065677709381
281,diff_means,sw,56,256,0.5,2,-0.9163790672141836
282,SumIPS-Linear,sw,56,256,0.5,2,-0.7856894918606728
283,OLS,sw,56,256,0.5,2,-0.09544622231215533
284,Graph-Agnostic,sw,56,256,0.5,2,0.00190970572376065
285,diff_means_frac,sw,57,256,0.5,2,-0.750198283548505
286,diff_means,sw,57,256,0.5,2,-0.7768806982098709
287,SumIPS-Linear,sw,57,256,0.5,2,-0.04751895696438563
288,OLS,sw,57,256,0.5,2,-0.5196229357380211
289,Graph-Agnostic,sw,57,256,0.5,2,0.006571556930708745
290,diff_means_frac,sw,58,256,0.5,2,-0.8046168162845664
291,diff_means,sw,58,256,0.5,2,-0.9614509274591663
292,SumIPS-Linear,sw,58,256,0.5,2,-1.4563586512350202
293,OLS,sw,58,256,0.5,2,-0.27217515736569275
294,Graph-Agnostic,sw,58,256,0.5,2,-0.062182997318629446
295,diff_means_frac,sw,59,256,0.5,2,-0.512608717386396
296,diff_means,sw,59,256,0.5,2,-0.870463348880952
297,SumIPS-Linear,sw,59,256,0.5,2,1.0582658271103758
298,OLS,sw,59,256,0.5,2,-0.44374390192610336
299,Graph-Agnostic,sw,59,256,0.5,2,0.14003326100871064
300,diff_means_frac,sw,60,256,0.5,2,-0.7229118931905251
301,diff_means,sw,60,256,0.5,2,-0.9054063509074195
302,SumIPS-Linear,sw,60,256,0.5,2,-1.7097107063764136
303,OLS,sw,60,256,0.5,2,-0.3742665270462037
304,Graph-Agnostic,sw,60,256,0.5,2,-0.060919708270929504
305,diff_means_frac,sw,61,256,0.5,2,-0.5923677606792199
306,diff_means,sw,61,256,0.5,2,-0.7848879044454125
307,SumIPS-Linear,sw,61,256,0.5,2,1.8889868120233568
308,OLS,sw,61,256,0.5,2,-0.2867427583322898
309,Graph-Agnostic,sw,61,256,0.5,2,0.08739384542454792
310,diff_means_frac,sw,62,256,0.5,2,-0.6226917434715639
311,diff_means,sw,62,256,0.5,2,-0.875239020855222
312,SumIPS-Linear,sw,62,256,0.5,2,1.7029077553711243
313,OLS,sw,62,256,0.5,2,-0.13966591693696379
314,Graph-Agnostic,sw,62,256,0.5,2,0.07023822938448203
315,diff_means_frac,sw,63,256,0.5,2,-0.6487002059362992
316,diff_means,sw,63,256,0.5,2,-0.9386558829416429
317,SumIPS-Linear,sw,63,256,0.5,2,1.5644050386233945
318,OLS,sw,63,256,0.5,2,-0.2997305957054646
319,Graph-Agnostic,sw,63,256,0.5,2,0.09434318904266098
320,diff_means_frac,sw,64,256,0.5,2,-0.5887583923281514
321,diff_means,sw,64,256,0.5,2,-0.90844386210722
322,SumIPS-Linear,sw,64,256,0.5,2,0.43739600657146577
323,OLS,sw,64,256,0.5,2,-0.06703684701913183
324,Graph-Agnostic,sw,64,256,0.5,2,-0.010050050602915655
325,diff_means_frac,sw,65,256,0.5,2,-0.7671021467263717
326,diff_means,sw,65,256,0.5,2,-0.8701175601541753
327,SumIPS-Linear,sw,65,256,0.5,2,0.6917869114138641
328,OLS,sw,65,256,0.5,2,-0.01921102906423481
329,Graph-Agnostic,sw,65,256,0.5,2,0.02352889082358077
330,diff_means_frac,sw,66,256,0.5,2,-0.4683962481749366
331,diff_means,sw,66,256,0.5,2,-0.8975591775905094
332,SumIPS-Linear,sw,66,256,0.5,2,0.001217662209344859
333,OLS,sw,66,256,0.5,2,-0.12348852250954558
334,Graph-Agnostic,sw,66,256,0.5,2,0.01841426886199816
335,diff_means_frac,sw,67,256,0.5,2,-0.8739624145093208
336,diff_means,sw,67,256,0.5,2,-0.8287801269070737
337,SumIPS-Linear,sw,67,256,0.5,2,-1.897975968456679
338,OLS,sw,67,256,0.5,2,-0.3770919111491538
339,Graph-Agnostic,sw,67,256,0.5,2,-0.05168777913201815
340,diff_means_frac,sw,68,256,0.5,2,-0.7842396862860579
341,diff_means,sw,68,256,0.5,2,-0.6928462856089873
342,SumIPS-Linear,sw,68,256,0.5,2,0.29664266402798156
343,OLS,sw,68,256,0.5,2,-0.44282895483060936
344,Graph-Agnostic,sw,68,256,0.5,2,0.00993714509891047
345,diff_means_frac,sw,69,256,0.5,2,-0.8947829454614497
346,diff_means,sw,69,256,0.5,2,-0.9363743094839562
347,SumIPS-Linear,sw,69,256,0.5,2,-2.1493772312502384
348,OLS,sw,69,256,0.5,2,-0.35072277252656364
