,Estimator,rep,n,p,ratio,Bias
225,Graph-Aware,32,500,0.05,1.3333333333333333,-0.19448855052879663
226,Graph-Agnostic-VR,32,500,0.05,1.3333333333333333,-0.15593056109641054
227,OLS-Prop,32,500,0.05,1.3333333333333333,-0.30516819824077707
228,OLS-Num,32,500,0.05,1.3333333333333333,-0.12484219465177535
229,Diff-Means-Stnd,32,500,0.05,1.3333333333333333,-0.6108900258903492
230,Diff-Means-Frac,32,500,0.05,1.3333333333333333,-0.7163617277485818
231,Graph-Agnostic,33,500,0.05,1.3333333333333333,0.36468780360170766
232,Graph-Aware,33,500,0.05,1.3333333333333333,0.371289352129869
233,Graph-Agnostic-VR,33,500,0.05,1.3333333333333333,0.06616234657159005
234,OLS-Prop,33,500,0.05,1.3333333333333333,-0.1975744892380228
235,OLS-Num,33,500,0.05,1.3333333333333333,0.09563611534585023
236,Diff-Means-Stnd,33,500,0.05,1.3333333333333333,-0.5919838342124021
237,Diff-Means-Frac,33,500,0.05,1.3333333333333333,-0.7104593933296864
238,Graph-Agnostic,34,500,0.05,1.3333333333333333,0.04972035316330171
239,Graph-Aware,34,500,0.05,1.3333333333333333,0.04372314088708842
240,Graph-Agnostic-VR,34,500,0.05,1.3333333333333333,-0.06274968466880532
241,OLS-Prop,34,500,0.05,1.3333333333333333,-0.3557680009432904
242,OLS-Num,34,500,0.05,1.3333333333333333,-0.017828100743176038
243,Diff-Means-Stnd,34,500,0.05,1.3333333333333333,-0.6327585620512637
244,Diff-Means-Frac,34,500,0.05,1.3333333333333333,-0.752931106972003
245,Graph-Agnostic,35,500,0.05,1.3333333333333333,-0.06134729718665513
246,Graph-Aware,35,500,0.05,1.3333333333333333,-0.04567778402384923
247,Graph-Agnostic-VR,35,500,0.05,1.3333333333333333,-0.02223676789565302
248,OLS-Prop,35,500,0.05,1.3333333333333333,-0.3340752777586688
249,OLS-Num,35,500,0.05,1.3333333333333333,-0.017904506011856645
250,Diff-Means-Stnd,35,500,0.05,1.3333333333333333,-0.6350708883259233
251,Diff-Means-Frac,35,500,0.05,1.3333333333333333,-0.7260243929893357
252,Graph-Agnostic,36,500,0.05,1.3333333333333333,-0.1708293178450736
253,Graph-Aware,36,500,0.05,1.3333333333333333,-0.1802374491910721
254,Graph-Agnostic-VR,36,500,0.05,1.3333333333333333,0.09101405547494514
255,OLS-Prop,36,500,0.05,1.3333333333333333,-0.10548638981902449
256,OLS-Num,36,500,0.05,1.3333333333333333,0.16930726329007573
257,Diff-Means-Stnd,36,500,0.05,1.3333333333333333,-0.5623374514469502
258,Diff-Means-Frac,36,500,0.05,1.3333333333333333,-0.6498081103048257
259,Graph-Agnostic,37,500,0.05,1.3333333333333333,0.30724581857815547
260,Graph-Aware,37,500,0.05,1.3333333333333333,0.14854345468116242
261,Graph-Agnostic-VR,37,500,0.05,1.3333333333333333,0.02128579577161329
262,OLS-Prop,37,500,0.05,1.3333333333333333,-0.1606253429231781
263,OLS-Num,37,500,0.05,1.3333333333333333,0.1827632438499396
264,Diff-Means-Stnd,37,500,0.05,1.3333333333333333,-0.48563948569010407
265,Diff-Means-Frac,37,500,0.05,1.3333333333333333,-0.7230963437967578
266,Graph-Agnostic,38,500,0.05,1.3333333333333333,-0.2368107505756271
267,Graph-Aware,38,500,0.05,1.3333333333333333,-0.22846753522063684
268,Graph-Agnostic-VR,38,500,0.05,1.3333333333333333,0.004196380828848342
269,OLS-Prop,38,500,0.05,1.3333333333333333,-0.2285544143694429
270,OLS-Num,38,500,0.05,1.3333333333333333,0.064669510119323
271,Diff-Means-Stnd,38,500,0.05,1.3333333333333333,-0.6216858431719028
272,Diff-Means-Frac,38,500,0.05,1.3333333333333333,-0.7102874444627623
273,Graph-Agnostic,39,500,0.05,1.3333333333333333,-0.07139799964156718
274,Graph-Aware,39,500,0.05,1.3333333333333333,-0.11740642422358687
275,Graph-Agnostic-VR,39,500,0.05,1.3333333333333333,0.05522954586953185
276,OLS-Prop,39,500,0.05,1.3333333333333333,-0.1680790213291896
277,OLS-Num,39,500,0.05,1.3333333333333333,0.16673049256818667
278,Diff-Means-Stnd,39,500,0.05,1.3333333333333333,-0.5080819698793595
279,Diff-Means-Frac,39,500,0.05,1.3333333333333333,-0.6920750607231004
280,Graph-Agnostic,40,500,0.05,1.3333333333333333,0.12694189227740618
281,Graph-Aware,40,500,0.05,1.3333333333333333,0.08328531808110058
